Company,#,Deal Type,Date,Amount,Raised to Date,Pre-Val,Post-Val,Investors,Status,Stage,Source File
Deel,1,Series D,2022-05-01,50000000.0,679000000.0,11750000000.0,11800000000.0,n.d.,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,2,Series D,2021-10-01,425000000.0,629000000.0,11120000000.0,11550000000.0,Coatue,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,3,Series C,2021-04-01,156000000.0,204000000.0,1900000000.0,2060000000.0,"Andreessen Horowitz, Spark Capital, Y Combinator Continuity Fund",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,4,Series B,2020-08-01,30000000.0,48090000.0,395000000.0,425000000.0,Spark Capital,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,5,Series A,2019-09-01,14000000.0,18090000.0,66000000.0,80000000.0,Andreessen Horowitz,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,6,Seed Round,2018-11-01,2000000.0,4090000.0,30000000.0,32000000.0,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,7,Angel,2018-04-01,2090000.0,2090000.0,14800000.0,16900000.0,n.d.,Completed,Angel,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,8,Secondary Transaction,2022-09-01,,679000000.0,12360000000.0,12360000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,9,Secondary Transaction,2022-07-01,,679100000.0,11940000000.0,11940000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,10,Debt - General,2023-04-01,200000000.0,879000000.0,13410000000.0,13410000000.0,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,1,Series E,2022-01-01,200000000.0,471100000.0,5350000000.0,5550000000.0,Battery Ventures,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,2,Series D,2021-05-01,110000000.0,271100000.0,1500000000.0,1610000000.0,"Altimeter Capital, Insight Venture Management, LLC.",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,3,Series C,2020-09-01,110000000.0,161100000.0,1590000000.0,1700000000.0,Redpoint,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,4,Series B,2019-01-01,35000000.0,51100000.0,110000000.0,145000000.0,Battery Ventures,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,5,Series A,2018-02-01,10000000.0,16100000.000000002,43000000.0,53000000.0,Storm Ventures,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,6,Series A,2017-04-01,4000000.0,6100000.0,17200000.0,21200000.0,Storm Ventures,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,7,Seed Round,2016-01-01,1500000.0,2100000.0,3900000.0,5400000.0,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,8,Angel,2015-07-01,600000.0,600000.0,2200000.0,2800000.0,n.d.,Completed,Angel,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,9,Debt - General,2022-10-01,150000000.0,621100000.0,6160000000.0,6160000000.0,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,1,Series F,2021-05-01,303000000.0,530500000.0,3480000000.0,3780000000.0,EQT,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,2,Series E,2019-11-01,141000000.0,227500000.0,949000000.0,1090000000.0,Lightspeed Venture Partners,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,3,Series D,2019-01-01,56000000.0,86500000.0,490200000.0,546200000.0,Sprints,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,4,Series C,2018-09-01,27700000.0,30500000.0,386700000.0,414400000.0,Burda Principal Investments,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,5,Series B,2016-07-01,27000000.0,27000000.0,37200000.0,64200000.0,"Insight Venture Management, LLC.",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,6,Series A,2014-07-01,1200000.0,2800000.0,11000000.0,12200000.0,Accel,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,7,Seed Round,2012-07-01,1600000.0,1600000.0,700000.0,2300000.0,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,8,Secondary Transaction,2021-01-01,,254500000.0,2870000000.0,2870000000.0,FJ Labs,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,9,Secondary Transaction,2022-06-01,,557500000.0,4400000000.0,4400000000.0,FJ Labs,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,1,Series D,2021-06-01,1000000000.0,1300000000.0,10000000000.0,11000000000.0,"Durable Capital Partners, T. Rowe Price",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,2,Series C,2019-06-01,290000000.0,300000000.0,2210000000.0,2500000000.0,Arena Holdings,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,3,Series B,2018-10-01,50000000.0,67000000.0,1480000000.0,1530000000.0,"83North, Accel",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,4,Series A,2018-06-01,27500000.0,27500000.0,772500000.0,800000000.0,"83North, Accel",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,5,Seed Round,2016-07-01,12000000.0,33200000.000000004,68000000.0,80000000.0,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,6,Seed Round,2015-07-01,12000000.0,21200000.0,68000000.0,80000000.0,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,7,Seed Round,2014-07-01,9200000.0,9200000.0,52400000.0,61600000.0,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,8,Secondary Transaction,2021-06-01,,1400000000.0,11000000000.0,11000000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,9,Secondary Transaction,2021-11-01,,1400000000.0,11660000000.0,11660000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,10,Secondary Transaction,2022-01-01,,1400000000.0,11930000000.0,11930000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,11,Secondary Transaction,2022-07-01,,1400000000.0,12650000000.0,12650000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,12,Debt - General,2022-06-01,200000000.0,1500000000.0,12650000000.0,12650000000.0,KeyBanc Capital Markets,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,13,Debt - General,2023-03-01,,1600000000.0,14050000000.0,14050000000.0,KeyBanc Capital Markets,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,1,Series B,2023-01-01,115000000.0,331000000.0,460000000.0,575000000.0,"Exor, Azimut Holding, LIFTT, Club degli Investitori, Claudio Costamagna",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,2,Series A,2022-11-01,108000000.0,216000000.0,432000000.0,540000000.0,"Exor, Azimut Holding, LIFTT, Club degli Investitori, Claudio Costamagna",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,3,Series A,2022-02-01,107000000.0,107000000.0,428000000.0,535000000.0,"Exor, Azimut Holding, LIFTT, Club degli Investitori, Claudio Costamagna",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,4,Seed Round,2021-07-01,1000000.0,1000000.0,4000000.0,5000000.0,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,5,Seed Round,2021-07-01,1000000.0,2000000.0,4000000.0,5000000.0,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,6,Debt - General,2023-06-01,56000000.0,387000000.0,280000000.0,280000000.0,"France 2030 (Bpifrance, CEA)",Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,1,Series I,2023-09-01,500000000.0,4150000000.000001,43000000000.0,43500000000.0,"NVIDIA, T. Rowe Price",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,2,Series I,2023-06-01,500000000.0,3650000000.0,42500000000.0,43000000000.0,n.d.,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,3,Series H,2021-08-01,1600000000.0,3150000000.0,36500000000.0,38100000000.0,Counterpoint Global,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,4,Series G,2021-02-01,1000000000.0,1550000000.0,27500000000.0,28500000000.0,Franklin Templeton,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,5,Series F,2019-10-01,400000000.0,550000000.0,6100000000.0,6500000000.0,Andreessen Horowitz,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,6,Series E,2018-10-01,250000000.0,250000000.0,2530000000.0,2780000000.0,Andreessen Horowitz,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,7,Series D,2017-08-01,140000000.0,140000000.0,960000000.0,1100000000.0,Andreessen Horowitz,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,8,Series C,2017-05-01,60000000.0,60000000.0,898700000.0,958700000.0,New Enterprise Associates,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,9,Series B,2015-11-01,45000000.0,45000000.0,375300000.0,420300000.0,New Enterprise Associates,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,10,Series A,2014-09-01,33000000.0,33000000.0,188300000.0,221300000.0,Andreessen Horowitz,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,11,Seed Round,2014-07-01,2400000.0,2400000.0,77600000.0,80000000.0,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,12,Secondary Transaction,2021-11-01,,3530000000.0,38730000000.0,38730000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,13,Secondary Transaction,2022-07-01,,5030000000.0,40250000000.0,40250000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,14,Secondary Transaction,2023-06-01,,6030000000.0,43000000000.0,43000000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,15,Secondary Transaction,2023-12-01,,6530000000.0,46690000000.0,46690000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,16,Secondary Transaction,2024-02-01,,7030000000.0,48950000000.0,48950000000.0,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,17,Debt - General,2022-03-01,1500000000.0,5030000000.0,39600000000.0,39600000000.0,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,18,Debt - General,2023-03-01,500000000.0,5530000000.0,42300000000.0,42300000000.0,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,19,Debt - General,2024-01-01,500000000.0,7030000000.0,47810000000.0,47810000000.0,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,20,Debt - General,2024-11-01,15000000000.0,22030000000.0,60550000000.0,60550000000.0,"JPMorgan Chase, Barclays, Citi, Goldman Sachs, Morgan Stanley",Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,21,Corporate Round,2024-12-01,10000000000.0,14150000000.0,55000000000.0,62000000000.0,"Andreessen Horowitz, DST Global, GIC, Insight Venture Management, LLC., Thrive Capital, WCM Investment Management",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,1,Series C,2022-04-01,180000000.0,256500000.0,1100000000.0,1280000000.0,Tencent,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,2,Series B,2021-11-01,57000000.0,76500000.0,443000000.0,500000000.0,CRV,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,3,Series A,2021-08-01,57000000.0,76500000.0,322900000.0,379900000.0,Andreessen Horowitz,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,4,Series A,2021-01-01,15500000.0,15500000.0,184700000.0,200200000.0,Andreessen Horowitz,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,5,Seed Round,2020-10-01,4000000.0,4000000.0,76000000.0,80000000.0,Y Combinator,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,6,Seed Round,2020-07-01,500000.0,500000.0,79500000.0,80000000.0,Y Combinator,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,7,Debt - General,2021-11-01,100000000.0,234000000.0,500000000.0,500000000.0,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,8,Debt - General,2022-04-01,150000000.0,564000000.0,1280000000.0,1280000000.0,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,9,Debt - General,2022-07-01,75000000.0,639000000.0,1310000000.0,1310000000.0,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,10,Debt - General,2023-07-01,,639000000.0,1510000000.0,1510000000.0,Community Investment Management,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
