Company,#,Deal Type,Date,Amount,Raised to Date,Pre-Val,Post-Val,Investors,Status,Stage,Source File
Deel,1,Series D,May-22,$50M,$679M,$11.75B,$11.8B,n.d.,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,2,Series D,Oct-21,$425M,$629M,$11.12B,$11.55B,Coatue,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,3,Series C,Apr-21,$156M,$204M,$1.9B,$2.06B,"Andreessen Horowitz, Spark Capital, Y Combinator Continuity Fund",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,4,Series B,Aug-20,$30M,$48.09M,$395M,$425M,Spark Capital,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,5,Series A,Sep-19,$14M,$18.09M,$66M,$80M,Andreessen Horowitz,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,6,Seed Round,Nov-18,$2M,$4.09M,~$30M,~$32M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,7,Angel,Apr-18,$2.09M,$2.09M,~$14.8M,~$16.9M,n.d.,Completed,Angel,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,8,Secondary Transaction,Sep-22,n.d.,$679M,~$12.36B,~$12.36B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,9,Secondary Transaction,2022,n.d.,~$679.1M,~$11.94B,~$11.94B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Deel,10,Debt - General,Apr-23,$200M,$879M,~$13.41B,~$13.41B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,1,Series E,Jan-22,$200M,$471.1M,$5.35B,$5.55B,Battery Ventures,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,2,Series D,May-21,$110M,$271.1M,$1.5B,$1.61B,"Altimeter Capital, Insight Venture Management, LLC.",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,3,Series C,Sep-20,$110M,$161.1M,$1.59B,$1.7B,Redpoint,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,4,Series B,Jan-19,$35M,$51.1M,$110M,$145M,Battery Ventures,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,5,Series A,Feb-18,$10M,$16.1M,~$43M,~$53M,Storm Ventures,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,6,Series A,Apr-17,$4M,$6.1M,~$17.2M,~$21.2M,Storm Ventures,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,7,Seed Round,Jan-16,$1.5M,$2.1M,~$3.9M,~$5.4M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,8,Angel,2015,$600K,$600K,~$2.2M,~$2.8M,n.d.,Completed,Angel,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Workato,9,Debt - General,Oct-22,$150M,$621.1M,~$6.16B,~$6.16B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,1,Series F,May-21,$303M,$530.5M,$3.48B,$3.78B,EQT,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,2,Series E,Nov-19,$141M,$227.5M,$949M,$1.09B,Lightspeed Venture Partners,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,3,Series D,Jan-19,$56M,$86.5M,~$490.2M,~$546.2M,Sprints,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,4,Series C,Sep-18,$27.7M,$30.5M,~$386.7M,~$414.4M,Burda Principal Investments,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,5,Series B,2016,$27M,$27M,~$37.2M,~$64.2M,"Insight Venture Management, LLC.",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,6,Series A,2014,$1.2M,$2.8M,~$11M,~$12.2M,Accel,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,7,Seed Round,2012,$1.6M,$1.6M,~$700K,~$2.3M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,8,Secondary Transaction,Jan-21,n.d.,~$254.5M,~$2.87B,~$2.87B,FJ Labs,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Vinted,9,Secondary Transaction,Jun-22,n.d.,~$557.5M,~$4.4B,~$4.4B,FJ Labs,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,1,Series D,Jun-21,$1B,$1.3B,$10B,$11B,"Durable Capital Partners, T. Rowe Price",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,2,Series C,Jun-19,$290M,$300M,$2.21B,$2.5B,Arena Holdings,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,3,Series B,Oct-18,$50M,$67M,~$1.48B,~$1.53B,"83North, Accel",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,4,Series A,Jun-18,$27.5M,$27.5M,~$772.5M,~$800M,"83North, Accel",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,5,Seed Round,2016,~$12M,~$33.2M,~$68M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,6,Seed Round,2015,~$12M,~$21.2M,~$68M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,7,Seed Round,2014,~$9.2M,~$9.2M,~$52.4M,~$61.6M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,8,Secondary Transaction,Jun-21,n.d.,~$1.4B,~$11B,~$11B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,9,Secondary Transaction,Nov-21,n.d.,~$1.4B,~$11.66B,~$11.66B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,10,Secondary Transaction,Jan-22,n.d.,~$1.4B,~$11.93B,~$11.93B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,11,Secondary Transaction,2022,n.d.,~$1.4B,~$12.65B,~$12.65B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,12,Debt - General,Jun-22,$200M,$1.5B,~$12.65B,~$12.65B,KeyBanc Capital Markets,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Celonis,13,Debt - General,Mar-23,n.d.,~$1.6B,~$14.05B,~$14.05B,KeyBanc Capital Markets,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,1,Series B,Jan-23,$115M,$331M,~$460M,~$575M,"Exor, Azimut Holding, LIFTT, Club degli Investitori, Claudio Costamagna",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,2,Series A,Nov-22,$108M,$216M,~$432M,~$540M,"Exor, Azimut Holding, LIFTT, Club degli Investitori, Claudio Costamagna",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,3,Series A,Feb-22,$107M,$107M,~$428M,~$535M,"Exor, Azimut Holding, LIFTT, Club degli Investitori, Claudio Costamagna",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,4,Seed Round,2021,$1M,$1M,~$4M,~$5M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,5,Seed Round,2021,$1M,$2M,~$4M,~$5M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
NewCleo,6,Debt - General,Jun-23,$56M,$387M,~$280M,~$280M,"France 2030 (Bpifrance, CEA)",Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,1,Series I,Sep-23,$500M,$4.15B,$43B,$43.5B,"NVIDIA, T. Rowe Price",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,2,Series I,Jun-23,$500M,$3.65B,~$42.5B,$43B,n.d.,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,3,Series H,Aug-21,$1.6B,$3.15B,$36.5B,$38.1B,Counterpoint Global,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,4,Series G,Feb-21,$1B,$1.55B,$27.5B,$28.5B,Franklin Templeton,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,5,Series F,Oct-19,$400M,$550M,$6.1B,$6.5B,Andreessen Horowitz,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,6,Series E,Oct-18,$250M,$250M,$2.53B,$2.78B,Andreessen Horowitz,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,7,Series D,Aug-17,$140M,$140M,$960M,$1.1B,Andreessen Horowitz,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,8,Series C,May-17,$60M,$60M,~$898.7M,~$958.7M,New Enterprise Associates,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,9,Series B,Nov-15,$45M,$45M,~$375.3M,~$420.3M,New Enterprise Associates,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,10,Series A,Sep-14,$33M,$33M,~$188.3M,~$221.3M,Andreessen Horowitz,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,11,Seed Round,2014,$2.4M,$2.4M,~$77.6M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,12,Secondary Transaction,Nov-21,n.d.,~$3.53B,~$38.73B,~$38.73B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,13,Secondary Transaction,2022,n.d.,~$5.03B,~$40.25B,~$40.25B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,14,Secondary Transaction,Jun-23,n.d.,~$6.03B,~$43B,~$43B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,15,Secondary Transaction,Dec-23,n.d.,~$6.53B,~$46.69B,~$46.69B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,16,Secondary Transaction,Feb-24,n.d.,~$7.03B,~$48.95B,~$48.95B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,17,Debt - General,Mar-22,$1.5B,~$5.03B,~$39.6B,~$39.6B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,18,Debt - General,Mar-23,$500M,~$5.53B,~$42.3B,~$42.3B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,19,Debt - General,Jan-24,$500M,~$7.03B,~$47.81B,~$47.81B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,20,Debt - General,Nov-24,$15B,~$22.03B,~$60.55B,~$60.55B,"JPMorgan Chase, Barclays, Citi, Goldman Sachs, Morgan Stanley",Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Databricks,21,Corporate Round,Dec-24,$10B,$14.15B,$55B,$62B,"Andreessen Horowitz, DST Global, GIC, Insight Venture Management, LLC., Thrive Capital, WCM Investment Management",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,1,Series C,Apr-22,$180M,$256.5M,$1.1B,$1.28B,Tencent,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,2,Series B,Nov-21,$57M,$76.5M,$443M,$500M,CRV,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,3,Series A,Aug-21,$57M,$76.5M,~$322.9M,~$379.9M,Andreessen Horowitz,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,4,Series A,Jan-21,$15.5M,$15.5M,~$184.7M,~$200.2M,Andreessen Horowitz,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,5,Seed Round,Oct-20,$4M,$4M,~$76M,~$80M,Y Combinator,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,6,Seed Round,2020,$500K,$500K,~$79.5M,~$80M,Y Combinator,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,7,Debt - General,Nov-21,$100M,~$234M,~$500M,~$500M,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,8,Debt - General,Apr-22,$150M,~$564M,~$1.28B,~$1.28B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,9,Debt - General,2022,$75M,~$639M,~$1.31B,~$1.31B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,10,Debt - General,2023,n.d.,~$639M,~$1.51B,~$1.51B,Community Investment Management,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,11,Debt - General,2024,n.d.,~$639M,~$1.73B,~$1.73B,Community Investment Management,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Jeeves,12,Debt - General,2024,n.d.,~$639M,~$1.73B,~$1.73B,Community Investment Management,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
